13,0.013ms,0.1098ms
13,0.0128ms,0.1119ms
13,0.0129ms,0.1124ms
13,0.0128ms,0.1036ms
14,0.0114ms,1.3624ms
14,0.0155ms,0.149ms
14,0.0154ms,0.1379ms
14,0.0153ms,0.0938ms
14,0.0161ms,0.0949ms
14,0.0114ms,1.3157ms
14,0.0162ms,0.1312ms
14,0.0153ms,0.1216ms
14,0.0154ms,0.1552ms
14,0.0154ms,0.1189ms
59,0.4616ms,1.6104ms
59,0.6855ms,0.4986ms
59,0.6849ms,0.4005ms
59,0.685ms,0.3794ms
59,0.6757ms,0.5122ms
509,248.446ms,125.349ms
509,252.88ms,146.943ms
509,254.43ms,56.0544ms
509,251.862ms,38.013ms
509,252.701ms,45.9513ms
510,250.968ms,40.4754ms
510,254.671ms,63.7815ms
510,254.522ms,38.3774ms
510,259.603ms,40.445ms
510,254.092ms,39.3228ms
510,251.553ms,38.4591ms
510,255.513ms,38.5935ms
510,254.876ms,39.1775ms
510,254.521ms,39.129ms
510,254.463ms,62.1855ms
511,251.958ms,39.6263ms
511,254.908ms,44.7157ms
511,254.63ms,39.0716ms
511,254.855ms,40.7289ms
511,255.959ms,42.0346ms
511,253.469ms,45.6602ms
511,257.305ms,38.3526ms
511,255.525ms,41.5911ms
511,258.385ms,40.3735ms
511,257.226ms,48.046ms
512,253.489ms,40.9771ms
512,256.073ms,45.9353ms
512,255.903ms,39.1714ms
512,256.567ms,52.1978ms
512,256.13ms,40.1731ms
512,266.1ms,40.4552ms
512,257.3ms,47.6085ms
512,258.637ms,49.4878ms
512,257.679ms,40.6529ms
512,256.847ms,49.4188ms
513,260.257ms,41.03ms
513,260.061ms,38.5797ms
513,258.106ms,39.166ms
513,265.006ms,40.1923ms
513,259ms,109.169ms
513,256.334ms,45.1454ms
513,258.039ms,48.213ms
513,257.794ms,57.588ms
513,258.038ms,39.9022ms
513,257.511ms,44.9987ms
514,255.759ms,40.4248ms
514,258.617ms,39.7388ms
514,258.231ms,40.6112ms
514,264.09ms,43.0144ms
514,259.665ms,39.6912ms
60,0.4935ms,1.8025ms
60,0.728ms,0.4241ms
60,0.7357ms,0.3674ms
60,0.7441ms,0.4218ms
60,0.7275ms,0.7979ms
514,257.987ms,39.9441ms
514,261.219ms,41.2529ms
514,261.417ms,38.3683ms
514,260.307ms,40.8145ms
514,262.821ms,42.4343ms
515,270.491ms,49.0657ms
515,261.028ms,41.1311ms
515,260.132ms,39.8792ms
515,260.798ms,46.4155ms
515,260.678ms,40.999ms
515,256.943ms,45.9063ms
515,261.354ms,41.1918ms
515,261.441ms,40.8919ms
515,261.585ms,46.284ms
515,261.175ms,41.5744ms
516,260.3ms,41.4896ms
516,263.363ms,41.1293ms
516,261.762ms,42.889ms
516,261.98ms,58.0269ms
516,262.308ms,67.742ms
516,258.068ms,41.8244ms
516,261.722ms,96.1423ms
516,262.544ms,39.9387ms
516,261.752ms,41.4431ms
516,268.006ms,41.3069ms
517,261.407ms,45.589ms
517,263.05ms,40.2474ms
517,263.493ms,44.7451ms
517,265.858ms,43.3586ms
517,265.128ms,39.3617ms
517,261.931ms,41.5549ms
517,266.654ms,40.5533ms
517,265.351ms,40.8238ms
517,263.769ms,40.3698ms
517,267.128ms,44.0052ms
518,261.942ms,42.3636ms
518,264.372ms,41.387ms
518,265.627ms,40.9054ms
518,265.691ms,41.4137ms
518,265.462ms,41.3038ms
518,261.689ms,45.3451ms
518,265.331ms,41.8712ms
518,264.76ms,40.7179ms
518,265.471ms,42.0268ms
518,265.753ms,42.0812ms
519,263.724ms,41.8955ms
519,266.124ms,41.3033ms
519,275.165ms,41.6336ms
519,266.507ms,40.5046ms
519,266.725ms,42.2473ms
60,0.4871ms,1.9296ms
60,0.7321ms,0.4261ms
60,0.7136ms,0.6714ms
60,0.7237ms,0.3952ms
60,0.7186ms,0.4168ms
519,264.959ms,42.5561ms
519,270.071ms,50.331ms
519,266.669ms,41.2811ms
519,272.449ms,54.947ms
519,267.589ms,41.9762ms
520,264.606ms,42.8294ms
520,269.353ms,152.016ms
520,269.232ms,40.8104ms
520,269.026ms,40.6781ms
520,267.771ms,54.3831ms
520,267.542ms,42.9894ms
520,271.274ms,41.4683ms
520,270.187ms,41.9ms
520,287.674ms,42.5155ms
520,269.478ms,41.6117ms
521,266.353ms,43.436ms
521,271.553ms,45.3128ms
521,269.808ms,41.5657ms
521,270.39ms,48.7652ms
521,271.637ms,41.6671ms
521,266.371ms,40.8475ms
521,270.907ms,41.7163ms
521,270.056ms,42.0784ms
521,270.113ms,41.5681ms
521,270.596ms,45.0113ms
522,268.293ms,45.5738ms
522,270.82ms,43.1218ms
522,271.06ms,41.0374ms
522,271.573ms,42.5666ms
522,270.859ms,41.4527ms
522,270.077ms,41.5606ms
522,272.104ms,46.4554ms
522,278.147ms,46.0534ms
522,272.08ms,48.6633ms
522,272.3ms,41.466ms
523,270.281ms,43.1691ms
523,272.851ms,43.0791ms
523,273.56ms,42.142ms
523,272.911ms,47.0696ms
